"laufindexFolge";"id";"questionNumber";"typ";"fragetextAktuellerBeruf";"fragetextVergangenerBeruf";"antwort.pos";"antwort.text";"antwort.kldb";"antwort.isco";"followUp"
71;"1519";1;"";"";"";"3";"Führungstätigkeit mit strategischer Entscheidungsbefugnis (z.B. zur Einführung neuer Verfahren, zu finanziellen Investitionen, oder zur Einstellung und Entlassung von Personal)";"11494";"1312";NA
72;"1520";1;"anforderungsniveau";"Ist für Ihre Tätigkeit in der Regel ein abgeschlossenes Masterstudium im Bereich Ingenieurwissenschaften erforderlich?";"War für diese Tätigkeit in der Regel ein abgeschlossenes Masterstudium im Bereich Ingenieurwissenschaften erforderlich?";"";"";"";"";""
73;"1520";1;"";"";"";"1";"Ja";"11424";"2132";NA
74;"1520";1;"";"";"";"2";"Nein";"11423";"3141";NA
75;"1705";1;"anforderungsniveau";"Ist für Ihre Tätigkeit in der Regel ein abgeschlossenes Masterstudium erforderlich?";"War für diese Tätigkeit in der Regel ein abgeschlossenes Masterstudium erforderlich?";"";"";"";"";""
76;"1705";1;"";"";"";"1";"Ja";"25184";"2144";NA
77;"1705";1;"";"";"";"2";"Nein";"25183";"3115";NA
78;"1706";1;"anforderungsniveau";"Ist für Ihre Tätigkeit in der Regel ein abgeschlossenes Masterstudium erforderlich?";"War für diese Tätigkeit in der Regel ein abgeschlossenes Masterstudium erforderlich?";"";"";"";"";""
79;"1706";1;"";"";"";"1";"Ja";"25184";"2144";NA
80;"1706";1;"";"";"";"2";"Nein";"25183";"3115";NA
81;"1709";1;"anforderungsniveau";"Sind Sie Beamte/r im einfachen, mittleren, gehobenen oder höheren Dienst?";"Waren Sie Beamte/r im einfachen, mittleren, gehobenen oder höheren Dienst?";"";"";"";"";""
82;"1709";1;"";"";"";"1";"im einfachen Dienst oder vergleichbar";"27182";"3119";NA
83;"1709";1;"";"";"";"2";"im mittleren Dienst oder vergleichbar";"27182";"3119";NA
84;"1709";1;"";"";"";"3";"im gehobenen Dienst oder vergleichbar";"27183";"3119";NA
85;"1709";1;"";"";"";"4";"im höheren Dienst oder vergleichbar";"27184";"2149";NA
86;"1710";1;"aufsicht";"Sind Sie befugt strategische Entscheidungen zu treffen, z.B. zur Einführung neuer Verfahren, zu finanziellen Investitionen oder zur Einstellung und Entlassung von Personal?";"Waren Sie befugt strategische Entscheidungen zu treffen, z.B. zur Einführung neuer Verfahren, zu finanziellen Investitionen oder zur Einstellung und Entlassung von Personal?";"";"";"";"";""
87;"1710";1;"";"";"";"1";"Ja";"11294";"1311";"FALSE"
88;"1710";1;"";"";"";"2";"Nein";"11293";"6129";NA
89;"1710";2;"sonstige";"Über die Zucht welcher Tiere führen Sie Aufsicht?";"Über die Zucht welcher Tiere haben Sie Aufsicht geführt?";"";"";"";"";""
90;"1710";2;"";"";"";"1";"Über die Zucht von Nutztieren";"11293";"6121";NA
91;"1710";2;"";"";"";"2";"Über die Zucht von Geflügeltieren";"11293";"6122";NA
92;"1710";2;"";"";"";"3";"Über die Zucht von Bienen";"11293";"6123";NA
93;"1710";2;"";"";"";"4";"Über die Zucht anderer Tiere";"11293";"6129";NA
94;"1711";1;"aufsicht";"Sind Sie befugt strategische Entscheidungen zu treffen, z.B. zur Einführung neuer Verfahren, zu finanziellen Investitionen oder zur Einstellung und Entlassung von Personal?";"Waren Sie befugt strategische Entscheidungen zu treffen, z.B. zur Einführung neuer Verfahren, zu finanziellen Investitionen oder zur Einstellung und Entlassung von Personal?";"";"";"";"";""
95;"1711";1;"";"";"";"1";"Ja";"11394";"1311";"FALSE"
96;"1711";1;"";"";"";"2";"Nein";"11393";"6121";NA
97;"1711";2;"spezialisierung";"In welchem Bereich sind Sie vorwiegend tätig?";"In welchem Bereich waren Sie vorwiegend tätig?";"";"";"";"";""
98;"1711";2;"";"";"";"1";"Pferdeversorgung und Administratives - z.B. Sicherstellen von Futter";"11393";"6121";NA
99;"1711";2;"";"";"";"2";"Pferdezucht und -haltung - z.B. Zuchtpläne erstellen";"11393";"3142";NA
100;"1711";2;"";"";"";"3";"Ausbildung und Pflege der Pferde - z.B. Pferde auf Tauglichkeit untersuchen";"11393";"5164";NA
101;"1711";2;"";"";"";"4";"Ausbildung von Reitern - z.B. Koordination und Durchführung von Reitkursen";"11393";"3423";NA
102;"1711";2;"";"";"";"5";"Mehr als ein Aufgabenbereich trifft zu";"11393";"6121";NA
103;"1712";1;"aufsicht";"Sind Sie befugt strategische Entscheidungen zu treffen, z.B. zur Einführung neuer Verfahren, zu finanziellen Investitionen oder zur Einstellung und Entlassung von Personal?";"Waren Sie befugt strategische Entscheidungen zu treffen, z.B. zur Einführung neuer Verfahren, zu finanziellen Investitionen oder zur Einstellung und Entlassung von Personal?";"";"";"";"";""
104;"1712";1;"";"";"";"1";"Ja";"11594";"1439";NA
105;"1712";1;"";"";"";"2";"Nein";"11593";"5164";NA
106;"1713";1;"aufsicht";"Sind Sie befugt strategische Entscheidungen zu treffen, z.B. zur Einführung neuer Verfahren, zu finanziellen Investitionen oder zur Einstellung und Entlassung von Personal?";"Waren Sie befugt strategische Entscheidungen zu treffen, z.B. zur Einführung neuer Verfahren, zu finanziellen Investitionen oder zur Einstellung und Entlassung von Personal?";"";"";"";"";""
107;"1713";1;"";"";"";"1";"Ja";"12194";"1311";"FALSE"
108;"1713";1;"";"";"";"2";"Nein";"12193";"6113";NA
109;"1713";2;"sonstige";"Mit der Zucht welcher Art von Pflanzen befassen Sie sich hauptsächlich?";"Mit der Zucht welcher Art von Pflanzen haben Sie sich hauptsächlich befasst?";"";"";"";"";""
110;"1713";2;"";"";"";"1";" Mit der Zucht von Bäumen und Sträuchern";"12193";"6112";NA
111;"1713";2;"";"";"";"2";"Mit der Zucht von Gemüse und Obst";"12193";"6111";NA
112;"1713";2;"";"";"";"3";"Keine der anderen Antworten trifft zu";"12193";"6113";NA
113;"1714";1;"aufsicht";"Sind Sie befugt strategische Entscheidungen zu treffen, z.B. zur Einführung neuer Verfahren, zu finanziellen Investitionen oder zur Einstellung und Entlassung von Personal?";"Waren Sie befugt strategische Entscheidungen zu treffen, z.B. zur Einführung neuer Verfahren, zu finanziellen Investitionen oder zur Einstellung und Entlassung von Personal?";"";"";"";"";""
114;"1714";1;"";"";"";"1";"Ja";"12294";"1321";NA
115;"1714";1;"";"";"";"2";"Nein";"12293";"3122";NA
116;"1715";1;"aufsicht";"Sind Sie befugt strategische Entscheidungen zu treffen, z.B. zur Einführung neuer Verfahren, zu finanziellen Investitionen oder zur Einstellung und Entlassung von Personal?";"Waren Sie befugt strategische Entscheidungen zu treffen, z.B. zur Einführung neuer Verfahren, zu finanziellen Investitionen oder zur Einstellung und Entlassung von Personal?";"";"";"";"";""
117;"1715";1;"";"";"";"1";"Ja";"11494";"1312";"FALSE"
118;"1715";1;"";"";"";"2";"Nein";"11493";"6223";NA
119;"1715";2;"spezialisierung";"In welchem Bereich sind Sie vorwiegend tätig? ";"In welchem Bereich waren Sie vorwiegend tätig? ";"";"";"";"";""
120;"1715";2;"";"";"";"1";"In der Aquakultur";"11493";"6221";"FALSE"
121;"1715";2;"";"";"";"2";"In der Binnen- und Küstenfischerei";"11493";"6222";"FALSE"
122;"1715";2;"";"";"";"3";"In der Hochseefischerei";"11493";"6223";"FALSE"
123;"1716";1;"anforderungsniveau";"Ist für Ihre Tätigkeit in der Regel ein abgeschlossenes Masterstudium erforderlich?";"War für diese Tätigkeit in der Regel ein abgeschlossenes Masterstudium erforderlich?";"";"";"";"";""
124;"1716";1;"";"";"";"1";"Ja";"22104";"2145";NA
125;"1716";1;"";"";"";"2";"Nein";"22103";"3116";NA
126;"1717";1;"aufsicht";"Sind Sie befugt strategische Entscheidungen zu treffen, z.B. zur Einführung neuer Verfahren, zu finanziellen Investitionen oder zur Einstellung und Entlassung von Personal?";"Waren Sie befugt strategische Entscheidungen zu treffen, z.B. zur Einführung neuer Verfahren, zu finanziellen Investitionen oder zur Einstellung und Entlassung von Personal?";"";"";"";"";""
127;"1717";1;"";"";"";"1";"Ja";"22394";"1321";NA
128;"1717";1;"";"";"";"2";"Nein";"22393";"3122";NA
129;"1718";1;"anforderungsniveau";"Ist für Ihre Tätigkeit in der Regel ein abgeschlossenes Masterstudium erforderlich?";"War für diese Tätigkeit in der Regel ein abgeschlossenes Masterstudium erforderlich?";"";"";"";"";""
130;"1718";1;"";"";"";"1";"Ja";"23414";"2149";NA
131;"1718";1;"";"";"";"2";"Nein";"23413";"3119";NA
132;"1719";1;"anforderungsniveau";"Ist für Ihre Tätigkeit in der Regel ein abgeschlossenes Masterstudium erforderlich?";"War für diese Tätigkeit in der Regel ein abgeschlossenes Masterstudium erforderlich?";"";"";"";"";""
133;"1719";1;"";"";"";"1";"Ja";"24114";"2146";NA
134;"1719";1;"";"";"";"2";"Nein";"24113";"3135";NA
135;"1720";1;"anforderungsniveau";"Ist für Ihre Tätigkeit in der Regel ein abgeschlossenes Masterstudium erforderlich?";"War für diese Tätigkeit in der Regel ein abgeschlossenes Masterstudium erforderlich?";"";"";"";"";""
136;"1720";1;"";"";"";"1";"Ja";"24424";"2144";NA
137;"1720";1;"";"";"";"2";"Nein";"24423";"3115";NA
138;"1721";1;"anforderungsniveau";"Ist für Ihre Tätigkeit in der Regel eine berufliche Weiterbildung erforderlich?";"War für diese Tätigkeit in der Regel eine berufliche Weiterbildung erforderlich?";"";"";"";"";""
139;"1721";1;"";"";"";"1";"Nein";"24532";"7311";NA
140;"1721";1;"";"";"";"2";"Ja";"24533";"7311";NA
141;"1722";1;"anforderungsniveau";"Ist für Ihre Tätigkeit in der Regel ein abgeschlossenes Masterstudium im Bereich Maschinenbau erforderlich?";"War für diese Tätigkeit in der Regel ein abgeschlossenes Masterstudium im Bereich Maschinenbau erforderlich?";"";"";"";"";""
142;"1722";1;"";"";"";"1";"Ja";"25104";"2144";NA
143;"1722";1;"";"";"";"2";"Nein";"25103";"3115";NA
144;"1723";1;"anforderungsniveau";"Welche Art von Ausbildung ist für Ihre Tätigkeit in der Regel erforderlich?";"Welche Art von Ausbildung war für diese Tätigkeit in der Regel erforderlich?";"";"";"";"";""
145;"1723";1;"";"";"";"1";"eine abgeschlossene Berufsausbildung";"25132";"7412";NA
146;"1723";1;"";"";"";"2";"eine berufliche Weiterbildung mit Mindestdauer von 18 Monaten";"25133";"3115";NA
147;"1723";1;"";"";"";"3";"ein abgeschlossenes Bachelorstudium";"25133";"3115";NA
148;"1723";1;"";"";"";"4";"ein abgeschlossenes Masterstudium";"25134";"2144";NA
149;"1724";1;"anforderungsniveau";"Ist für Ihre Tätigkeit in der Regel ein abgeschlossenes Masterstudium erforderlich?";"War für diese Tätigkeit in der Regel ein abgeschlossenes Masterstudium erforderlich?";"";"";"";"";""
150;"1724";1;"";"";"";"1";"Ja";"25184";"2144";NA
151;"1724";1;"";"";"";"2";"Nein";"25183";"3115";NA
152;"1725";1;"anforderungsniveau";"Ist für Ihre Tätigkeit in der Regel ein abgeschlossenes Masterstudium erforderlich?";"War für diese Tätigkeit in der Regel ein abgeschlossenes Masterstudium erforderlich?";"";"";"";"";""
153;"1725";1;"";"";"";"1";"Ja";"25224";"2144";NA
154;"1725";1;"";"";"";"2";"Nein";"25223";"3115";NA
155;"1726";1;"anforderungsniveau";"Ist für Ihre Tätigkeit in der Regel ein abgeschlossenes Masterstudium erforderlich?";"War für diese Tätigkeit in der Regel ein abgeschlossenes Masterstudium erforderlich?";"";"";"";"";""
156;"1726";1;"";"";"";"1";"Ja";"25234";"2144";NA
157;"1726";1;"";"";"";"2";"Nein";"25233";"3115";NA
158;"1727";1;"anforderungsniveau";"Ist für Ihre Tätigkeit in der Regel ein abgeschlossenes Masterstudium erforderlich?";"War für diese Tätigkeit in der Regel ein abgeschlossenes Masterstudium erforderlich?";"";"";"";"";""
159;"1727";1;"";"";"";"1";"Ja";"25244";"2144";NA
160;"1727";1;"";"";"";"2";"Nein";"25243";"3115";NA
161;"1728";1;"anforderungsniveau";"Ist für Ihre Tätigkeit in der Regel ein abgeschlossenes Masterstudium erforderlich?";"War für diese Tätigkeit in der Regel ein abgeschlossenes Masterstudium erforderlich?";"";"";"";"";""
162;"1728";1;"";"";"";"1";"Ja";"25254";"2144";NA
163;"1728";1;"";"";"";"2";"Nein";"25253";"3115";NA
164;"1729";1;"anforderungsniveau";"Ist für Ihre Tätigkeit in der Regel ein abgeschlossenes Masterstudium erforderlich?";"War für diese Tätigkeit in der Regel ein abgeschlossenes Masterstudium erforderlich?";"";"";"";"";""
165;"1729";1;"";"";"";"1";"Ja";"26114";"2151";NA
166;"1729";1;"";"";"";"2";"Nein";"26113";"3113";NA
167;"1730";1;"anforderungsniveau";"Welche Art von Ausbildung ist für Ihre Tätigkeit in der Regel erforderlich?";"Welche Art von Ausbildung war für diese Tätigkeit in der Regel erforderlich?";"";"";"";"";""
168;"1730";1;"";"";"";"1";"eine abgeschlossene Berufsausbildung";"26122";"7421";NA
169;"1730";1;"";"";"";"2";"eine berufliche Weiterbildung mit Mindestdauer von 18 Monaten";"26123";"3113";NA
170;"1730";1;"";"";"";"3";"ein abgeschlossenes Bachelorstudium im Bereich Automatisierungstechnik";"26123";"3113";NA
171;"1730";1;"";"";"";"4";"ein abgeschlossenes Masterstudium im Bereich Automatisierungstechnik";"26124";"2152";NA
172;"1731";1;"anforderungsniveau";"Ist für Ihre Tätigkeit in der Regel ein abgeschlossenes Masterstudium erforderlich?";"War für diese Tätigkeit in der Regel ein abgeschlossenes Masterstudium erforderlich?";"";"";"";"";""
173;"1731";1;"";"";"";"1";"Ja";"26244";"2151";NA
174;"1731";1;"";"";"";"2";"Nein";"26243";"3113";NA
175;"1732";1;"anforderungsniveau";"Ist für Ihre Tätigkeit in der Regel ein abgeschlossenes Masterstudium erforderlich?";"War für diese Tätigkeit in der Regel ein abgeschlossenes Masterstudium erforderlich?";"";"";"";"";""
176;"1732";1;"";"";"";"1";"Ja";"26264";"2151";NA
177;"1732";1;"";"";"";"2";"Nein";"26263";"3113";NA
178;"1733";1;"spezialisierung";"Liegt der Schwerpunkt Ihrer Arbeit im Bereich Elektrotechnik oder im Bereich Elektronik?";"Lag der Schwerpunkt Ihrer Arbeit im Bereich Elektrotechnik oder im Bereich Elektronik?";"";"";"";"";""
179;"1733";1;"";"";"";"1";"Elektrotechnik";"26303";"3113";NA
180;"1733";1;"";"";"";"2";"Elektronik";"26303";"3114";NA
181;"1733";2;"anforderungsniveau";"Ist für Ihre Tätigkeit in der Regel ein abgeschlossenes Masterstudium erforderlich?";"War für diese Tätigkeit in der Regel ein abgeschlossenes Masterstudium erforderlich?";"";"";"";"";""
182;"1733";2;"";"";"";"1";"Ja";"26304";"2151 bzw 2152";NA
183;"1733";2;"";"";"";"2";"Nein";"26303";"3113 bzw 3114";NA
184;"1734";1;"anforderungsniveau";"Ist für Ihre Tätigkeit in der Regel ein abgeschlossenes Masterstudium erforderlich?";"War für diese Tätigkeit in der Regel ein abgeschlossenes Masterstudium erforderlich?";"";"";"";"";""
185;"1734";1;"";"";"";"1";"Ja";"26314";"2153";"FALSE"
186;"1734";1;"";"";"";"2";"Nein";"26313";"3522";NA
187;"1734";2;"spezialisierung";"Liegt der Schwerpunkt Ihrer Arbeit im Bereich Rundfunk oder im Bereich Telekommunikationstechnik?";"Lag der Schwerpunkt Ihrer Arbeit im Bereich Rundfunk oder im Bereich Telekommunikationstechnik?";"";"";"";"";""
188;"1734";2;"";"";"";"1";"Rundfunk";"26303";"3521";NA
189;"1734";2;"";"";"";"2";"Telekommunikationstechnik";"26313";"3522";NA
190;"1735";1;"anforderungsniveau";"Ist für Ihre Tätigkeit in der Regel ein abgeschlossenes Masterstudium erforderlich?";"War für diese Tätigkeit in der Regel ein abgeschlossenes Masterstudium erforderlich?";"";"";"";"";""
191;"1735";1;"";"";"";"1";"Ja";"26324";"2152";NA
192;"1735";1;"";"";"";"2";"Nein";"26323";"3114";NA
193;"1736";1;"anforderungsniveau";"Ist für Ihre Tätigkeit in der Regel ein abgeschlossenes Masterstudium erforderlich?";"War für diese Tätigkeit in der Regel ein abgeschlossenes Masterstudium erforderlich?";"";"";"";"";""
194;"1736";1;"";"";"";"1";"Ja";"26334";"2152";NA
195;"1736";1;"";"";"";"2";"Nein";"26333";"3114";NA
196;"1737";1;"anforderungsniveau";"Ist für Ihre Tätigkeit in der Regel ein abgeschlossenes Masterstudium erforderlich?";"War für diese Tätigkeit in der Regel ein abgeschlossenes Masterstudium erforderlich?";"";"";"";"";""
197;"1737";1;"";"";"";"1";"Ja";"27224";"2149";NA
198;"1737";1;"";"";"";"2";"Nein";"27223";"3119";NA
199;"1738";1;"anforderungsniveau";"Ist für Ihre Tätigkeit in der Regel ein abgeschlossenes Masterstudium erforderlich?";"War für diese Tätigkeit in der Regel ein abgeschlossenes Masterstudium erforderlich?";"";"";"";"";""
200;"1738";1;"";"";"";"1";"Ja";"27314";"2141";NA
201;"1738";1;"";"";"";"2";"Nein";"27313";"3119";NA
202;"1739";1;"anforderungsniveau";"Ist für Ihre Tätigkeit in der Regel ein abgeschlossenes Masterstudium erforderlich?";"War für diese Tätigkeit in der Regel ein abgeschlossenes Masterstudium erforderlich?";"";"";"";"";""
203;"1739";1;"";"";"";"1";"Ja";"28104";"2149";"FALSE"
204;"1739";1;"";"";"";"2";"Nein";"28103";"3115";NA
205;"1739";2;"spezialisierung";"In welchem Bereich sind sie vorwiegend tätig?";"In welchem Bereich waren sie vorwiegend tätig?";"";"";"";"";""
206;"1739";2;"";"";"";"1";"Herstellung von Fäden, Garnen oder Zwirnen";"28133";"3115";NA
207;"1739";2;"";"";"";"2";"Herstellung von textilen Flächengebilden wie Gewebe, Gewirke oder Strickwaren";"28123";"3115";NA
208;"1739";2;"";"";"";"3";"Veredelung der Textilien durch Bleichen, Färben, Schrumpfen oder andere Behandlung";"28143";"3115";NA
209;"1739";2;"";"";"";"4";"oder trifft mehr als eines zu?";"28103";"3115";NA
210;"1740";1;"anforderungsniveau";"Welche Art von Ausbildung ist für Ihre Tätigkeit in der Regel erforderlich?";"Welche Art von Ausbildung war für diese Tätigkeit in der Regel erforderlich?";"";"";"";"";""
211;"1740";1;"";"";"";"2";"eine abgeschlossene Berufsausbildung";"28112";"7532";NA
212;"1740";1;"";"";"";"3";"eine berufliche Weiterbildung mit Mindestdauer von 18 Monaten";"28113";"2163";NA
213;"1740";1;"";"";"";"4";"ein abgeschlossenes Bachelorstudium";"28113";"2163";NA
214;"1740";1;"";"";"";"5";"ein abgeschlossenes Masterstudium";"28114";"2163";NA
215;"1741";1;"anforderungsniveau";"Ist für Ihre Tätigkeit in der Regel ein abgeschlossenes Masterstudium erforderlich?";"War für diese Tätigkeit in der Regel ein abgeschlossenes Masterstudium erforderlich?";"";"";"";"";""
216;"1741";1;"";"";"";"1";"Ja";"28224";"2149";NA
217;"1741";1;"";"";"";"2";"Nein";"28223";"3119";NA
218;"1742";1;"anforderungsniveau";"Ist für Ihre Tätigkeit in der Regel ein abgeschlossenes Masterstudium erforderlich?";"War für diese Tätigkeit in der Regel ein abgeschlossenes Masterstudium erforderlich?";"";"";"";"";""
